,Unnamed: 0,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_(mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,CLASS
3265,3265,11601,"YAM,RAW",69.6,118,1.53,0.17,0.82,27.88,4.1,0.5,17.0,0.54,21.0,55.0,816.0,9.0,0.24,0.178,0.397,0.7,17.1,0.112,0.032,0.552,0.314,0.293,23.0,0.0,23.0,23.0,16.5,0.0,138.0,7.0,0.0,0.0,83.0,0.0,0.0,0.0,0.35,0.0,0.0,2.3,0.037,0.006,0.076,0.0,150.0,"1 cup, cubes",,,14.0,10
3271,3271,11613,"BORAGE,RAW",93.0,21,1.8,0.7,1.44,3.06,,,93.0,3.3,52.0,53.0,470.0,80.0,0.2,0.13,0.349,0.9,35.0,0.06,0.15,0.9,0.041,0.084,13.0,0.0,13.0,13.0,,0.0,4200.0,210.0,0.0,,,,,,,0.0,0.0,,0.17,0.211,0.109,0.0,89.0,"1 cup,  (1"" pieces)",,,20.0,1
3274,3274,11616,"DOCK,RAW",93.0,22,2.0,0.7,1.1,3.2,2.9,,44.0,2.4,103.0,63.0,390.0,4.0,0.2,0.131,0.349,0.9,48.0,0.04,0.1,0.5,0.041,0.122,13.0,0.0,13.0,13.0,,0.0,4000.0,200.0,0.0,,,,,,,0.0,0.0,,,,,0.0,133.0,"1 cup, chopped",,,30.0,1
3276,3276,11618,"EPPAW,RAW",60.0,150,4.6,1.8,1.92,31.68,,,110.0,1.15,32.0,165.0,340.0,12.0,1.15,0.234,1.094,0.9,13.0,0.11,0.12,0.3,1.172,0.176,24.0,0.0,24.0,24.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,100.0,1 cup,,,,0
3279,3279,11622,"KALE,SCOTCH,RAW",87.0,42,2.8,0.6,1.28,8.32,1.7,,205.0,3.0,88.0,62.0,450.0,70.0,0.37,0.243,0.648,0.9,130.0,0.07,0.06,1.3,0.076,0.227,28.0,0.0,28.0,28.0,,0.0,3100.0,155.0,0.0,,,,,,,0.0,0.0,,0.078,0.045,0.289,0.0,67.0,"1 cup, chopped",,,39.0,1
3286,3286,11637,"RADISHES,WHITE ICICLE,RAW",95.37,14,1.1,0.1,0.8,2.63,1.4,,27.0,0.8,9.0,28.0,280.0,16.0,0.13,0.099,0.033,0.7,29.0,0.03,0.02,0.3,0.184,0.075,14.0,0.0,14.0,14.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.03,0.016,0.045,0.0,50.0,".5 cup, slices",17.0,"1 radish,  (7"" long)",35.0,1
3288,3288,11641,"SQUASH,SMMR,ALL VAR,RAW",94.64,16,1.21,0.18,0.62,3.35,1.1,2.2,15.0,0.35,17.0,38.0,262.0,2.0,0.29,0.051,0.175,0.2,17.0,0.048,0.142,0.487,0.155,0.218,29.0,0.0,29.0,29.0,6.7,0.0,200.0,10.0,0.0,0.0,120.0,0.0,0.0,2125.0,0.12,0.0,0.0,3.0,0.044,0.016,0.089,0.0,113.0,"1 cup, sliced",323.0,1 large,5.0,11
3290,3290,11643,"SQUASH,WNTR,ALL VAR,RAW",89.76,34,0.95,0.13,0.57,8.59,1.5,2.2,28.0,0.58,14.0,23.0,350.0,4.0,0.21,0.071,0.163,0.4,12.3,0.03,0.062,0.5,0.188,0.156,24.0,0.0,24.0,24.0,10.0,0.0,1367.0,68.0,0.0,0.0,820.0,0.0,0.0,38.0,0.12,0.0,0.0,1.1,0.027,0.01,0.056,0.0,116.0,"1 cup, cubes",,,29.0,11
3312,3312,11676,"RADISH SEEDS,SPROUTED,RAW",90.07,43,3.81,2.53,0.53,3.6,,,51.0,0.86,44.0,113.0,86.0,6.0,0.56,0.12,0.26,0.6,28.9,0.102,0.103,2.853,0.733,0.285,95.0,0.0,95.0,95.0,,0.0,391.0,20.0,0.0,,,,,,,0.0,0.0,,0.767,0.419,1.141,0.0,38.0,1 cup,,,0.0,1
3313,3313,11677,"SHALLOTS,RAW",79.8,72,2.5,0.1,0.8,16.8,3.2,7.87,37.0,1.2,21.0,60.0,334.0,12.0,0.4,0.088,0.292,1.2,8.0,0.06,0.02,0.2,0.29,0.345,34.0,0.0,34.0,34.0,11.3,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.04,0.0,0.0,0.8,0.017,0.014,0.039,0.0,10.0,"1 tbsp, chopped",,,12.0,10
3317,3317,11696,"TOMATOES,YELLOW,RAW",95.28,15,0.98,0.26,0.5,2.98,0.7,,11.0,0.49,12.0,36.0,258.0,23.0,0.28,0.101,0.12,0.4,9.0,0.041,0.047,1.179,0.11,0.056,30.0,0.0,30.0,30.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.036,0.04,0.108,0.0,139.0,"1 cup, chopped",212.0,1 tomato,9.0,1
3318,3318,11697,"ARROWROOT,RAW",80.75,65,4.24,0.2,1.42,13.39,1.3,,6.0,2.22,25.0,98.0,454.0,26.0,0.63,0.121,0.174,0.7,1.9,0.143,0.059,1.693,0.292,0.266,338.0,0.0,338.0,338.0,,0.0,19.0,1.0,0.0,0.0,11.0,0.0,,,,0.0,0.0,,0.039,0.004,0.092,0.0,120.0,"1 cup, sliced",33.0,1 root,15.0,1
3356,3356,11739,"BROCCOLI,LEAVES,RAW",90.69,28,2.98,0.35,0.92,5.06,2.3,1.48,48.0,0.88,25.0,66.0,325.0,27.0,0.4,0.045,0.229,3.0,93.2,0.065,0.119,0.638,0.535,0.159,71.0,0.0,71.0,71.0,,0.0,16000.0,,0.0,,,,,,,0.0,0.0,,0.054,0.024,0.167,0.0,,,,,0.0,11
3357,3357,11740,"BROCCOLI,FLOWER CLUSTERS,RAW",90.69,28,2.98,0.35,0.92,5.06,2.3,1.48,48.0,0.88,25.0,66.0,325.0,27.0,0.4,0.045,0.229,3.0,93.2,0.065,0.119,0.638,0.535,0.159,71.0,0.0,71.0,71.0,,0.0,3000.0,,0.0,,,,,,,0.0,0.0,,0.054,0.024,0.167,0.0,71.0,"1 cup,  flowerets",11.0,1 floweret,0.0,11
3358,3358,11741,"BROCCOLI,STALKS,RAW",90.69,28,2.98,0.35,0.92,5.24,,,48.0,0.88,25.0,66.0,325.0,27.0,0.4,0.045,0.229,3.0,93.2,0.065,0.119,0.638,0.535,0.159,71.0,0.0,71.0,71.0,,0.0,400.0,20.0,0.0,,,,,,,0.0,0.0,,0.054,0.024,0.167,0.0,114.0,1 stalk,,,0.0,1
3366,3366,11749,"CABBAGE,COMMON,FRESHLY HARVEST,RAW",92.52,24,1.21,0.18,0.72,5.37,2.3,,47.0,0.56,15.0,23.0,246.0,18.0,0.18,0.023,0.159,0.9,51.0,0.05,0.03,0.3,0.14,0.095,57.0,0.0,57.0,57.0,,0.0,126.0,6.0,0.0,,,,,,,0.0,0.0,,0.023,0.013,0.087,0.0,35.0,".5 cup, shredded",908.0,1 head,20.0,1
3367,3367,11750,"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",92.52,24,1.21,0.18,0.72,5.37,2.3,,47.0,0.56,15.0,23.0,246.0,18.0,0.18,0.023,0.159,0.9,42.0,0.05,0.03,0.3,0.14,0.095,57.0,0.0,57.0,57.0,,0.0,126.0,6.0,0.0,,,,,,,0.0,0.0,,0.023,0.013,0.087,0.0,35.0,".5 cup, shredded",908.0,1 head,20.0,1
3546,3546,11936,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,EXPOSED TO UV LT,RAW",92.12,22,2.5,0.1,0.98,4.3,0.6,1.72,18.0,0.4,9.0,120.0,448.0,6.0,1.1,0.5,0.142,26.0,0.0,0.095,0.49,3.8,1.5,0.11,28.0,0.0,28.0,28.0,22.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,31.9,1276.0,0.0,0.014,0.002,0.042,0.0,87.0,"1 cup, whole",72.0,"1 cup, sliced",0.0,11
3548,3548,11938,"MUSHROOM,WHITE,EXPOSED TO UV LT,RAW",92.45,22,3.09,0.34,0.85,3.26,1.0,1.98,3.0,0.5,9.0,86.0,318.0,5.0,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17.0,0.0,17.0,17.0,17.3,0.0,0.0,,0.0,,,,,,0.01,26.2,1046.0,0.0,0.05,0.0,0.16,0.0,70.0,"1 cup, pieces or slices",96.0,"1 cup, whole",0.0,11
3559,3559,11950,"MUSHROOMS,ENOKI,RAW",88.34,37,2.66,0.29,0.91,7.81,2.7,0.22,0.0,1.15,16.0,105.0,359.0,3.0,0.65,0.107,0.075,2.2,0.0,0.225,0.2,7.032,1.35,0.1,48.0,0.0,48.0,48.0,47.7,0.0,,,0.0,,,,,,0.01,0.1,5.0,0.0,0.02,0.0,0.09,0.0,5.0,1 large,3.0,1 medium,16.0,11
3561,3561,11952,"RADICCHIO,RAW",93.14,23,1.43,0.25,0.7,4.48,0.9,0.6,19.0,0.57,13.0,40.0,302.0,22.0,0.62,0.341,0.138,0.9,8.0,0.016,0.028,0.255,0.269,0.057,60.0,0.0,60.0,60.0,10.9,0.0,27.0,1.0,0.0,0.0,16.0,0.0,0.0,8832.0,2.26,0.0,0.0,255.2,0.06,0.01,0.11,0.0,40.0,"1 cup, shredded",8.0,1 leaf,9.0,11
3562,3562,11953,"SQUASH,ZUCCHINI,BABY,RAW",92.73,21,2.71,0.4,1.05,3.11,1.1,,21.0,0.79,33.0,93.0,459.0,3.0,0.83,0.097,0.196,0.3,34.1,0.042,0.036,0.705,0.367,0.142,20.0,0.0,20.0,20.0,,0.0,490.0,25.0,0.0,,,,,,,0.0,0.0,,0.083,0.031,0.169,0.0,16.0,1 large,11.0,1 medium,13.0,1
3563,3563,11954,"TOMATILLOS,RAW",91.63,32,0.96,1.02,0.55,5.84,1.9,3.93,7.0,0.62,20.0,39.0,268.0,1.0,0.22,0.079,0.153,0.5,11.7,0.044,0.035,1.85,0.15,0.056,7.0,0.0,7.0,7.0,7.6,0.0,114.0,6.0,0.0,10.0,63.0,0.0,0.0,467.0,0.38,0.0,0.0,10.1,0.139,0.155,0.417,0.0,34.0,1 medium,66.0,".5 cup, chopped or diced",,11
3566,3566,11957,"FENNEL,BULB,RAW",90.21,31,1.24,0.2,1.05,7.3,3.1,3.93,49.0,0.73,17.0,50.0,414.0,52.0,0.2,0.066,0.191,0.7,12.0,0.01,0.032,0.64,0.232,0.047,27.0,0.0,27.0,27.0,13.2,0.0,963.0,48.0,0.0,0.0,578.0,0.0,0.0,607.0,0.58,0.0,0.0,62.8,0.09,0.068,0.169,0.0,87.0,"1 cup, sliced",234.0,1 bulb,28.0,11
3568,3568,11959,"ARUGULA,RAW",91.71,25,2.58,0.66,1.4,3.65,1.6,2.05,160.0,1.46,47.0,52.0,369.0,27.0,0.47,0.076,0.321,0.3,15.0,0.044,0.086,0.305,0.437,0.073,97.0,0.0,97.0,97.0,15.3,0.0,2373.0,119.0,0.0,0.0,1424.0,0.0,0.0,3555.0,0.43,0.0,0.0,108.6,0.086,0.049,0.319,0.0,2.0,1 leaf,10.0,.5 cup,40.0,11
3569,3569,11960,"CARROTS,BABY,RAW",90.35,35,0.64,0.13,0.63,8.24,2.9,4.76,32.0,0.89,10.0,28.0,237.0,78.0,0.17,0.1,0.151,0.9,2.6,0.03,0.036,0.556,0.401,0.105,27.0,0.0,27.0,27.0,7.5,0.0,13790.0,690.0,0.0,3767.0,6391.0,0.0,0.0,358.0,,0.0,0.0,9.4,0.023,0.007,0.065,0.0,15.0,1 large,10.0,1 medium,0.0,11
3572,3572,11963,"NOPALES,RAW",94.12,16,1.32,0.09,1.14,3.33,2.2,1.15,164.0,0.59,52.0,16.0,257.0,21.0,0.25,0.052,0.457,0.7,9.3,0.012,0.041,0.41,0.167,0.07,3.0,0.0,3.0,3.0,7.3,0.0,457.0,23.0,0.0,48.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.016,0.018,0.05,0.0,86.0,"1 cup, sliced",,,4.0,11
3574,3574,11965,"CAULIFLOWER,GREEN,RAW",89.79,31,2.95,0.3,0.88,6.09,3.2,3.03,33.0,0.73,20.0,62.0,300.0,23.0,0.64,0.041,0.247,0.6,88.1,0.08,0.102,0.734,0.696,0.222,57.0,0.0,57.0,57.0,57.1,0.0,155.0,8.0,0.0,0.0,93.0,0.0,0.0,42.0,0.04,0.0,0.0,20.2,0.047,0.028,0.133,0.0,64.0,1 cup,25.0,1 floweret,39.0,11
3591,3591,11984,"EPAZOTE,RAW",89.21,32,0.33,0.52,2.5,7.44,3.8,,275.0,1.88,121.0,86.0,633.0,43.0,1.1,0.19,3.098,0.9,3.6,0.028,0.348,0.639,0.179,0.152,215.0,0.0,215.0,215.0,,0.0,57.0,3.0,0.0,,38.0,,,,,0.0,0.0,,,,,0.0,0.8,1 tbsp,2.0,1 sprig,0.0,1
3592,3592,11985,"FIREWEED,LEAVES,RAW",70.78,103,4.71,2.75,2.54,19.22,10.6,,429.0,2.4,156.0,108.0,494.0,34.0,2.66,0.32,6.704,0.9,2.2,0.033,0.137,4.674,1.356,0.632,112.0,0.0,112.0,112.0,,0.0,3598.0,180.0,0.0,,,,,,,0.0,0.0,,,,,0.0,23.0,"1 cup, chopped",22.0,1 plant,65.0,0
3597,3597,11990,"WASABI,ROOT,RAW",69.11,109,4.8,0.63,1.92,23.54,7.8,,128.0,1.03,69.0,80.0,568.0,17.0,1.62,0.155,0.391,,41.9,0.131,0.114,0.743,0.203,0.274,18.0,0.0,18.0,18.0,,0.0,35.0,2.0,0.0,0.0,21.0,0.0,,,,0.0,0.0,,,,,0.0,130.0,"1 cup, sliced",169.0,1 root,23.0,0
3598,3598,11991,"YAUTIA (TANNIER),RAW",73.06,98,1.46,0.4,1.45,23.63,1.5,,9.0,0.98,24.0,51.0,598.0,21.0,0.5,0.257,0.186,0.7,5.2,0.097,0.04,0.667,0.209,0.237,17.0,0.0,17.0,17.0,,0.0,8.0,0.0,0.0,0.0,5.0,0.0,,,,0.0,0.0,,0.082,,,0.0,135.0,"1 cup, sliced",305.0,1 root,14.0,0
3600,3600,11993,"MUSHROOMS,MAITAKE,RAW",90.37,31,1.94,0.19,0.53,6.97,2.7,2.07,1.0,0.3,10.0,74.0,204.0,1.0,0.75,0.252,0.059,2.2,0.0,0.146,0.242,6.585,0.27,0.056,21.0,0.0,21.0,21.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,28.1,1123.0,0.0,0.03,0.03,0.09,0.0,70.0,"1 cup, diced",1.1,"1 piece, whole",0.0,11
3601,3601,11994,"BROCCOLI,CHINESE,RAW",92.55,30,1.2,0.76,0.83,4.67,2.6,0.88,105.0,0.59,19.0,43.0,274.0,7.0,0.41,0.064,,1.4,29.6,0.1,0.153,0.459,,0.074,104.0,0.0,104.0,104.0,26.5,0.0,1720.0,86.0,0.0,0.0,1032.0,0.0,0.0,957.0,0.5,0.0,0.0,89.1,0.116,0.053,0.347,0.0,,,,,12.0,11
3602,3602,11995,"FIDDLEHEAD FERNS,RAW",88.68,34,4.55,0.4,0.83,5.54,,,32.0,1.31,34.0,101.0,370.0,1.0,0.83,0.32,0.51,,26.6,0.02,0.21,4.98,,,,,,,,0.0,3617.0,181.0,0.0,261.0,2040.0,,,,,0.0,0.0,,,,,0.0,,,,,,1
3604,3604,11998,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",92.82,22,2.11,0.35,0.85,3.87,1.3,2.5,3.0,0.31,10.0,108.0,364.0,9.0,0.53,0.286,0.069,18.6,0.0,0.059,0.13,4.494,1.14,0.148,28.0,0.0,28.0,28.0,21.2,0.05,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,28.4,1135.0,0.0,0.06,0.02,0.117,0.0,86.0,"1 cup, diced",84.0,"1 piece, whole",3.0,11
4804,4804,16067,"HYACINTH BNS,MATURE SEEDS,RAW",9.38,344,23.9,1.69,4.29,60.74,25.6,,130.0,5.1,283.0,372.0,1235.0,21.0,9.3,1.335,1.573,8.2,0.0,1.13,0.136,1.61,1.237,0.155,23.0,0.0,23.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.288,0.076,0.715,0.0,210.0,1 cup,,,0.0,0
4808,4808,16071,"LIMA BNS,LRG,MATURE SEEDS,RAW",10.17,338,21.46,0.69,4.3,63.38,19.0,8.5,81.0,7.51,224.0,385.0,1724.0,18.0,2.83,0.74,1.672,7.2,0.0,0.507,0.202,1.537,1.355,0.512,395.0,0.0,395.0,395.0,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,6.0,0.161,0.062,0.309,0.0,178.0,1 cup,11.1,1 tbsp,0.0,10
4811,4811,16074,"LIMA BNS,THIN SEEDED (BABY),MATURE SEEDS,RAW",12.07,335,20.62,0.93,3.55,62.83,20.6,8.32,81.0,6.19,188.0,370.0,1403.0,13.0,2.6,0.665,1.686,7.0,0.0,0.574,0.218,1.712,1.265,0.327,400.0,0.0,400.0,400.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,5.9,0.219,0.084,0.42,0.0,202.0,1 cup,,,0.0,10
4817,4817,16080,"MUNG BNS,MATURE SEEDS,RAW",9.05,347,23.86,1.15,3.32,62.62,16.3,6.6,132.0,6.74,189.0,367.0,1246.0,15.0,2.68,0.941,1.035,8.2,4.8,0.621,0.233,2.251,1.91,0.382,625.0,0.0,625.0,625.0,97.9,0.0,114.0,6.0,0.0,0.0,68.0,0.0,0.0,0.0,0.51,0.0,0.0,9.0,0.348,0.161,0.384,0.0,207.0,1 cup,13.0,1 tbsp,0.0,10
4820,4820,16083,"MUNGO BNS,MATURE SEEDS,RAW",10.8,341,25.21,1.64,3.36,58.99,18.3,,138.0,7.57,267.0,379.0,983.0,38.0,3.35,0.981,1.527,8.2,0.0,0.273,0.254,1.447,0.906,0.281,216.0,0.0,216.0,216.0,,0.0,23.0,1.0,0.0,,,,,,,0.0,0.0,,0.114,0.085,1.071,0.0,207.0,1 cup,,,0.0,0
4822,4822,16085,"PEAS,GRN,SPLIT,MATURE SEEDS,RAW",8.62,352,23.82,1.16,2.66,63.74,25.5,8.0,37.0,4.82,49.0,321.0,823.0,15.0,3.55,0.815,1.22,4.1,1.8,0.726,0.215,2.889,1.758,0.174,274.0,0.0,274.0,274.0,95.5,0.0,149.0,7.0,0.0,0.0,89.0,0.0,0.0,0.0,0.09,0.0,0.0,14.5,0.161,0.242,0.495,0.0,197.0,1 cup,453.6,1 lb,0.0,10
4868,4868,16133,"YARDLONG BNS,MATURE SEEDS,RAW",8.43,347,24.33,1.31,4.03,61.91,11.0,,138.0,8.61,338.0,559.0,1157.0,17.0,3.5,0.879,1.59,8.2,1.6,0.887,0.235,2.158,1.556,0.371,658.0,0.0,658.0,658.0,,0.0,52.0,3.0,0.0,,,,,,,0.0,0.0,,0.339,0.114,0.565,0.0,167.0,1 cup,,,0.0,0
4870,4870,16135,"WINGED BNS,MATURE SEEDS,RAW",8.34,409,29.65,16.32,3.98,41.71,25.9,,440.0,13.44,179.0,451.0,977.0,38.0,4.48,2.88,3.721,8.2,0.0,1.03,0.45,3.09,0.795,0.175,45.0,0.0,45.0,45.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.303,6.012,4.33,0.0,182.0,1 cup,,,0.0,0
7124,7124,23034,"BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,CHOIC,RAW",72.87,145,20.51,6.36,0.91,0.0,0.0,0.0,5.0,2.01,23.0,200.0,339.0,59.0,3.98,0.131,0.014,30.8,0.0,0.085,0.235,4.58,0.779,0.516,7.0,0.0,7.0,7.0,75.1,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,,,0.2,2.328,2.43,0.326,56.0,40.0,1 medallion,,,0.0,0
7126,7126,23036,"BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,SEL,RAW",72.79,142,20.93,5.79,0.9,0.0,0.0,0.0,5.0,2.39,25.0,219.0,366.0,60.0,4.38,0.13,0.018,31.8,0.0,0.089,0.269,5.57,0.921,0.519,7.0,0.0,7.0,7.0,85.2,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,,,0.2,1.988,1.979,0.337,58.0,44.0,1 medallion,,,0.0,0
7129,7129,23039,"BF,CHUCK,SHLDR CLOD, TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,RAW",72.54,140,21.13,5.51,0.88,0.0,0.0,0.0,4.0,2.64,25.0,221.0,370.0,58.0,5.99,0.107,0.02,32.0,0.0,0.093,0.253,5.32,0.861,0.622,7.0,0.0,7.0,7.0,86.9,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,,,0.2,1.791,1.933,0.341,58.0,85.0,3 oz,233.0,1 steak,0.0,0
7143,7143,23053,"BF,CHK,CLD,SHLDR TNDR,MEDALLION,LN & FAT,0"" FAT,ALL GRDS,RAW",72.8,144,20.54,6.22,0.92,0.0,0.0,0.0,5.0,1.95,23.0,196.0,327.0,58.0,3.72,0.131,0.016,33.3,0.0,0.087,0.269,4.51,0.799,0.503,7.0,0.0,7.0,7.0,,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,,,0.2,2.088,2.136,0.34,57.0,41.0,1 medallion,,,0.0,0
7575,7575,23506,"USDA COMMODITY,BF PATTIES W/VPP,FRZ,RAW",63.35,225,15.21,16.48,1.12,3.84,1.3,,29.0,2.66,36.0,190.0,294.0,55.0,5.44,0.163,0.252,11.7,0.0,0.316,0.22,4.281,1.456,0.44,,,,,,3.59,96.0,17.0,15.0,,28.0,,,,,,,,5.872,7.648,0.573,33.0,85.0,1 serving,,,0.0,0
7576,7576,23507,"USDA COMMODITY,BF,PATTIES (100%),FRZ,RAW",64.72,204,14.63,15.69,0.68,0.0,0.0,,7.0,1.93,18.0,145.0,269.0,74.0,4.12,0.073,0.017,14.8,0.0,0.043,0.16,3.846,0.309,0.214,6.0,0.0,6.0,6.0,,2.05,0.0,0.0,0.0,,,,,,,,,,6.333,6.861,0.643,53.0,85.0,3 oz,,,0.0,0
7577,7577,23508,"USDA COMMODITY,BF,GROUND,BULK/COARSE GROUND,FRZ,RAW",65.81,228,17.37,17.07,0.86,0.0,0.0,,7.0,1.69,17.0,122.0,246.0,57.0,3.59,0.062,0.015,12.1,0.0,0.056,0.232,4.207,0.362,0.241,7.0,0.0,7.0,7.0,,1.91,0.0,0.0,0.0,,,,,,,,,,6.813,7.413,0.71,69.0,85.0,1 serving,,,0.0,0
8307,8307,35027,"CLOUDBERRIES,RAW (ALASKA NATIVE)",87.0,51,2.4,0.8,1.2,8.6,,,18.0,0.7,,35.0,,,,,,,158.0,0.05,0.07,0.9,,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,0.0,1
8308,8308,35028,"COCKLES,RAW (ALASKA NATIVE)",78.8,79,13.5,0.7,2.3,4.7,,,30.0,16.2,,,,,,,,,,0.01,0.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
8312,8312,35038,"FIREWEED,YOUNG LEAVES,RAW (ALASKA NATIVE)",87.2,44,3.0,0.8,2.7,6.3,6.0,,13.0,2.1,,166.0,251.0,50.0,,,,,99.0,0.04,0.86,1.4,,,,,,,,,5720.0,,,,,,,,,,,,,,,,,,,,0.0,1
8317,8317,35043,"HUCKLEBERRIES,RAW (ALASKA NATIVE)",90.7,37,0.4,0.1,0.1,8.7,,,15.0,0.3,,,,10.0,,,,,2.8,0.01,0.03,0.3,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,0.0,1
8322,8322,35050,"MASHU ROOTS,RAW (ALASKA NATIVE)",67.8,135,5.8,2.4,1.4,22.6,,,,,,67.0,,,,,,,11.0,0.1,0.07,1.3,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,0.0,0
8369,8369,35138,"SQUASH,INDIAN,RAW (NAVAJO)",93.35,26,0.52,0.2,0.29,5.64,,3.54,9.0,0.17,10.0,12.0,205.0,20.0,0.07,0.017,0.027,,4.5,0.02,0.02,0.17,0.11,0.058,22.0,,22.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,11
8419,8419,35192,"AGAVE,RAW (SOUTHWEST)",81.83,68,0.52,0.15,1.27,16.23,6.6,2.58,417.0,1.8,55.0,7.0,127.0,14.0,0.15,0.138,0.094,0.4,4.0,0.029,0.039,0.162,0.041,0.055,7.0,0.0,7.0,7.0,,0.0,37.0,2.0,0.0,0.0,22.0,0.0,0.0,,0.23,0.0,0.0,5.3,,,,0.0,,,,,0.0,11
8427,8427,35200,"PRAIRIE TURNIPS,RAW (NORTHERN PLAINS INDIANS)",60.69,156,2.62,0.36,0.65,35.67,8.0,0.82,130.0,1.27,63.0,31.0,156.0,5.0,0.37,0.053,0.266,14.7,5.5,0.178,0.09,1.071,,0.47,10.0,,10.0,,4.8,,,,,,,,,,,,,0.0,,,,,12.7,"1 bulb, peeled",,,0.0,10
8727,8727,43392,"HEARTS OF PALM,RAW",69.5,115,2.7,0.2,1.99,25.61,1.5,17.16,18.0,1.69,10.0,140.0,1806.0,14.0,3.73,0.644,,0.7,8.0,0.05,0.18,0.9,,0.81,24.0,0.0,24.0,24.0,0.0,0.0,68.0,3.0,0.0,0.0,41.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.046,0.005,0.089,0.0,,,,,,10
